Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
MDG,2016-01-01,2016-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2016,2016,USD,100.6237568757,X
MDG,2017-01-01,2017-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2017,2017,USD,107.6644077201,X
MDG,2018-01-01,2018-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2018,2018,USD,108.9536465878,X
MDG,2019-01-01,2019-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2019,2019,USD,106.9640481702,X
MDG,2020-01-01,2020-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2020,2020,USD,106.5844792442,X
MDG,2021-01-01,2021-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2021,2021,USD,112.0181807421,X
MDG,2022-01-01,2022-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2022,2022,USD,114.8223168997,X
MDG,2023-01-01,2023-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2023,2023,USD,114.1047560280,X
MDG,2024-01-01,2024-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",2024,2024,USD,118.2074395491,E
MDG,1970-01-01,1970-12-31,129,'450,Madagascar,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1970,1970,SLC,0.3699277851,X
MDG,1971-01-01,1971-12-31,129,'450,Madagascar,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1971,1971,SLC,0.3828510265,X
MDG,1972-01-01,1972-12-31,129,'450,Madagascar,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1972,1972,SLC,0.3960526287,X
MDG,1973-01-01,1973-12-31,129,'450,Madagascar,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1973,1973,SLC,0.4282316208,X
MDG,1974-01-01,1974-12-31,129,'450,Madagascar,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1974,1974,SLC,0.4793962113,X
MDG,1975-01-01,1975-12-31,129,'450,Madagascar,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1975,1975,SLC,0.4978283491,X
MDG,1976-01-01,1976-12-31,129,'450,Madagascar,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",1976,1976,SLC,0.6329875434,X
